"","year","month","carrier_name","total_delay","delay_carrier","delay_weather","delay_nas","delay_security","delay_late"
"224",2004,6,"US Airways Inc.",7019.64406779661,1311,398,2483,0,2826
"225",2004,7,"AirTran Airways Corporation",4375.25581395349,590,41,1667,0,2077
"226",2004,7,"Alaska Airlines Inc.",3272.73913043478,1360,35,347,34,1498
"227",2004,7,"America West Airlines Inc.",3098.90384615385,1315,57,906,25,796
"228",2004,7,"American Airlines Inc.",10868.9761904762,2976,736,3646,13,3498
"229",2004,7,"American Eagle Airlines Inc.",5911.60377358491,1585,207,1795,1,2324
"230",2004,7,"ATA Airlines d/b/a ATA",4073.25925925926,856,34,1498,12,1673
"231",2004,7,"Atlantic Coast Airlines",5579.91891891892,596,134,1357,0,3493
"232",2004,7,"Atlantic Southeast Airlines",2620.41346153846,1140,409,810,2,259
"233",2004,7,"Continental Air Lines Inc.",4690.18421052632,866,188,2415,21,1199
"234",2004,7,"Delta Air Lines Inc.",7100.60606060606,1942,152,3058,9,1940
"235",2004,7,"ExpressJet Airlines Inc.",3880.80172413793,629,169,1807,7,1269
"236",2004,7,"Hawaiian Airlines Inc.",413.3125,316,0,26,3,68
"237",2004,7,"JetBlue Airways",3311.64,596,137,1154,37,1387
"238",2004,7,"Northwest Airlines Inc.",4193.33628318584,1827,344,1154,8,860
"239",2004,7,"SkyWest Airlines Inc.",2278.98333333333,935,214,628,9,492
"240",2004,7,"Southwest Airlines Co.",14773,2764,757,2120,45,9087
"241",2004,7,"United Air Lines Inc.",8639.73417721519,1765,257,3326,3,3289
"242",2004,7,"US Airways Inc.",7627.15254237288,1512,424,2730,0,2961
"243",2004,8,"AirTran Airways Corporation",3579.88372093023,517,71,1355,0,1637
"244",2004,8,"Alaska Airlines Inc.",3703.78260869565,1467,56,432,24,1724
"245",2004,8,"America West Airlines Inc.",3491.11764705882,1319,85,1110,19,958
"246",2004,8,"American Airlines Inc.",12196.7380952381,3107,1270,3132,41,4647
"247",2004,8,"American Eagle Airlines Inc.",5112.91588785047,1430,223,1383,18,2059
"248",2004,8,"ATA Airlines d/b/a ATA",2551.85185185185,397,18,1211,5,921
"249",2004,8,"Atlantic Coast Airlines",4351.02898550725,377,79,989,2,2903
"250",2004,8,"Atlantic Southeast Airlines",2027.12745098039,745,427,668,10,177
"251",2004,8,"Comair Inc.",2792.25961538462,1086,944,716,3,44
"252",2004,8,"Continental Air Lines Inc.",3283.93421052632,666,125,1767,13,713
"253",2004,8,"Delta Air Lines Inc.",6176.9595959596,1715,143,2551,5,1763
"254",2004,8,"ExpressJet Airlines Inc.",3064.8547008547,486,121,1504,3,951
"255",2004,8,"Hawaiian Airlines Inc.",518.352941176471,301,20,14,4,180
"256",2004,8,"JetBlue Airways",4222,731,235,1368,39,1849
"257",2004,8,"Northwest Airlines Inc.",3148.45535714286,1279,322,1043,6,499
"258",2004,8,"SkyWest Airlines Inc.",1900.936,787,164,576,7,367
"259",2004,8,"Southwest Airlines Co.",13817,2415,556,2186,38,8622
"260",2004,8,"United Air Lines Inc.",6917.11392405063,1583,233,2626,0,2475
"261",2004,8,"US Airways Inc.",7746.43333333333,1829,521,2342,0,3054
"262",2004,9,"AirTran Airways Corporation",3854.27272727273,453,23,1768,0,1611
"263",2004,9,"Alaska Airlines Inc.",2696.10869565217,978,37,490,35,1156
"264",2004,9,"America West Airlines Inc.",2209.54901960784,930,15,649,30,585
"265",2004,9,"American Airlines Inc.",3473.27380952381,1206,211,1209,11,836
"266",2004,9,"American Eagle Airlines Inc.",2343.5,874,75,587,1,806
"267",2004,9,"ATA Airlines d/b/a ATA",865,126,15,462,18,244
"268",2004,9,"Atlantic Coast Airlines",2951.8125,246,74,842,0,1789
"269",2004,9,"Atlantic Southeast Airlines",1891.66019417476,662,377,728,3,121
"270",2004,9,"Comair Inc.",1938.90566037736,823,584,502,5,25
"271",2004,9,"Continental Air Lines Inc.",2058.24675324675,350,103,1296,28,281
"272",2004,9,"Delta Air Lines Inc.",4999.38775510204,1437,301,2056,14,1191
"273",2004,9,"ExpressJet Airlines Inc.",1681.03418803419,258,51,964,2,407
"274",2004,9,"Hawaiian Airlines Inc.",333,263,2,34,7,26
"275",2004,9,"JetBlue Airways",1250.40740740741,295,49,432,23,451
"276",2004,9,"SkyWest Airlines Inc.",1319.11811023622,696,57,268,33,266
"277",2004,9,"Southwest Airlines Co.",6702.61666666667,1370,197,1228,42,3865
"278",2004,9,"United Air Lines Inc.",3049.12658227848,812,92,1079,85,981
"279",2004,9,"US Airways Inc.",3835.45901639344,1078,55,1281,0,1420
"280",2004,10,"AirTran Airways Corporation",2802.85365853659,354,18,1193,0,1237
"281",2004,10,"Alaska Airlines Inc.",2651.86666666667,1008,49,430,30,1135
"282",2004,10,"America West Airlines Inc.",2904.71153846154,1060,41,951,24,829
"283",2004,10,"American Airlines Inc.",6609.625,1456,631,2291,10,2223
